SPECIES_TYPE,DATA_SOURCE,TXP,VARIANT_CLASS,CANCER_TYPE,ANY_REGION_DUPLICATED,PYCLONECLONAL_SC,OVERALL_TIMING,SPECIES,SCORE_THRESHOLD,DRIVERMUT,MUTANT_EXPRESSED,NUM_MUTS,NUM_ROWS
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.130.20_597_1jbiA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.150.20_2521_3e0mA02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.210.10_199_2qm4A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.260.10_1007_4f3tA02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.270.10_5098_4mi0A00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.170.270.10_5106_3opeA00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.20.100.10_9996_1lslA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.20.25.10_6766_3h0gI02,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.20.70.10_4663_2m3oW01,,,TRUE,2,2
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_21877_4wj7A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_21879_1pmsA00,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22236_1tqzA01,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22238_1h10A00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22240_1gg3A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22381_2dhkA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22457_1qqgA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22502_3hk0A02,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22522_2d9wA01,,,FALSE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22583_1lw3A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22655_1mkeA00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22759_1wi1A01,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.29.30_22902_2mwnB00,,,,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.30.100_5438_3s6nF00,,,TRUE,1,1
funfam,Tx,N,Missense_Mutation,LUAD,FALSE,C,unknown,2.30.30.140_3101_2gfuA00,,,,1,1
